"date_start","date_end","region","sub_region_1","cases_weekly"
"2022-12-25","2022-12-31","SK","4711",10
"2023-01-08","2023-01-14","SK","4711",6
"2023-01-22","2023-01-28","SK","4711",6
"2023-02-05","2023-02-11","SK","4711",4
"2023-02-19","2023-02-25","SK","4711",1
"2023-03-05","2023-03-11","SK","4711",5
"2023-03-19","2023-03-25","SK","4711",11
"2023-04-02","2023-04-08","SK","4711",2
"2023-04-16","2023-04-22","SK","4711",6
"2023-05-14","2023-05-20","SK","4711",3
"2023-06-11","2023-06-17","SK","4711",1
"2023-07-09","2023-07-15","SK","4711",2
"2023-08-06","2023-08-12","SK","4711",0
"2023-09-03","2023-09-09","SK","4711",0
"2023-09-17","2023-09-23","SK","4711",1
"2023-10-01","2023-10-07","SK","4711",2
"2023-10-15","2023-10-21","SK","4711",3
"2023-10-29","2023-11-04","SK","4711",19
"2022-12-25","2022-12-31","SK","4712",2
"2023-01-08","2023-01-14","SK","4712",0
"2023-01-22","2023-01-28","SK","4712",0
"2023-02-05","2023-02-11","SK","4712",1
"2023-02-19","2023-02-25","SK","4712",0
"2023-03-05","2023-03-11","SK","4712",1
"2023-03-19","2023-03-25","SK","4712",0
"2023-04-02","2023-04-08","SK","4712",0
"2023-04-16","2023-04-22","SK","4712",1
"2023-05-14","2023-05-20","SK","4712",0
"2023-06-11","2023-06-17","SK","4712",0
"2023-07-09","2023-07-15","SK","4712",0
"2023-08-06","2023-08-12","SK","4712",0
"2023-09-03","2023-09-09","SK","4712",0
"2023-09-17","2023-09-23","SK","4712",2
"2023-10-01","2023-10-07","SK","4712",1
"2023-10-15","2023-10-21","SK","4712",5
"2023-10-29","2023-11-04","SK","4712",0
"2022-12-25","2022-12-31","SK","4713",6
"2023-01-08","2023-01-14","SK","4713",1
"2023-01-22","2023-01-28","SK","4713",0
"2023-02-05","2023-02-11","SK","4713",1
"2023-02-19","2023-02-25","SK","4713",2
"2023-03-05","2023-03-11","SK","4713",5
"2023-03-19","2023-03-25","SK","4713",5
"2023-04-02","2023-04-08","SK","4713",4
"2023-04-16","2023-04-22","SK","4713",4
"2023-05-14","2023-05-20","SK","4713",0
"2023-06-11","2023-06-17","SK","4713",0
"2023-07-09","2023-07-15","SK","4713",0
"2023-08-06","2023-08-12","SK","4713",0
"2023-09-03","2023-09-09","SK","4713",3
"2023-09-17","2023-09-23","SK","4713",0
"2023-10-01","2023-10-07","SK","4713",0
"2023-10-15","2023-10-21","SK","4713",4
"2023-10-29","2023-11-04","SK","4713",8
"2022-12-25","2022-12-31","SK","4721",18
"2023-01-08","2023-01-14","SK","4721",22
"2023-01-22","2023-01-28","SK","4721",9
"2023-02-05","2023-02-11","SK","4721",12
"2023-02-19","2023-02-25","SK","4721",5
"2023-03-05","2023-03-11","SK","4721",13
"2023-03-19","2023-03-25","SK","4721",5
"2023-04-02","2023-04-08","SK","4721",4
"2023-04-16","2023-04-22","SK","4721",4
"2023-05-14","2023-05-20","SK","4721",8
"2023-06-11","2023-06-17","SK","4721",8
"2023-07-09","2023-07-15","SK","4721",1
"2023-08-06","2023-08-12","SK","4721",0
"2023-09-03","2023-09-09","SK","4721",1
"2023-09-17","2023-09-23","SK","4721",15
"2023-10-01","2023-10-07","SK","4721",19
"2023-10-15","2023-10-21","SK","4721",24
"2023-10-29","2023-11-04","SK","4721",16
"2022-12-25","2022-12-31","SK","4722",14
"2023-01-08","2023-01-14","SK","4722",13
"2023-01-22","2023-01-28","SK","4722",10
"2023-02-05","2023-02-11","SK","4722",7
"2023-02-19","2023-02-25","SK","4722",13
"2023-03-05","2023-03-11","SK","4722",8
"2023-03-19","2023-03-25","SK","4722",6
"2023-04-02","2023-04-08","SK","4722",3
"2023-04-16","2023-04-22","SK","4722",4
"2023-05-14","2023-05-20","SK","4722",6
"2023-06-11","2023-06-17","SK","4722",1
"2023-07-09","2023-07-15","SK","4722",4
"2023-08-06","2023-08-12","SK","4722",1
"2023-09-03","2023-09-09","SK","4722",3
"2023-09-17","2023-09-23","SK","4722",7
"2023-10-01","2023-10-07","SK","4722",10
"2023-10-15","2023-10-21","SK","4722",24
"2023-10-29","2023-11-04","SK","4722",14
"2022-12-25","2022-12-31","SK","4723",2
"2023-01-08","2023-01-14","SK","4723",7
"2023-01-22","2023-01-28","SK","4723",5
"2023-02-05","2023-02-11","SK","4723",10
"2023-02-19","2023-02-25","SK","4723",6
"2023-03-05","2023-03-11","SK","4723",4
"2023-03-19","2023-03-25","SK","4723",2
"2023-04-02","2023-04-08","SK","4723",4
"2023-04-16","2023-04-22","SK","4723",3
"2023-05-14","2023-05-20","SK","4723",4
"2023-06-11","2023-06-17","SK","4723",1
"2023-07-09","2023-07-15","SK","4723",4
"2023-08-06","2023-08-12","SK","4723",3
"2023-09-03","2023-09-09","SK","4723",0
"2023-09-17","2023-09-23","SK","4723",1
"2023-10-01","2023-10-07","SK","4723",8
"2023-10-15","2023-10-21","SK","4723",13
"2023-10-29","2023-11-04","SK","4723",9
"2022-12-25","2022-12-31","SK","4731",11
"2023-01-08","2023-01-14","SK","4731",7
"2023-01-22","2023-01-28","SK","4731",9
"2023-02-05","2023-02-11","SK","4731",1
"2023-02-19","2023-02-25","SK","4731",4
"2023-03-05","2023-03-11","SK","4731",5
"2023-03-19","2023-03-25","SK","4731",9
"2023-04-02","2023-04-08","SK","4731",5
"2023-04-16","2023-04-22","SK","4731",0
"2023-05-14","2023-05-20","SK","4731",1
"2023-06-11","2023-06-17","SK","4731",2
"2023-07-09","2023-07-15","SK","4731",0
"2023-08-06","2023-08-12","SK","4731",4
"2023-09-03","2023-09-09","SK","4731",1
"2023-09-17","2023-09-23","SK","4731",0
"2023-10-01","2023-10-07","SK","4731",4
"2023-10-15","2023-10-21","SK","4731",1
"2023-10-29","2023-11-04","SK","4731",8
"2022-12-25","2022-12-31","SK","4732",25
"2023-01-08","2023-01-14","SK","4732",34
"2023-01-22","2023-01-28","SK","4732",21
"2023-02-05","2023-02-11","SK","4732",6
"2023-02-19","2023-02-25","SK","4732",25
"2023-03-05","2023-03-11","SK","4732",30
"2023-03-19","2023-03-25","SK","4732",29
"2023-04-02","2023-04-08","SK","4732",15
"2023-04-16","2023-04-22","SK","4732",22
"2023-05-14","2023-05-20","SK","4732",11
"2023-06-11","2023-06-17","SK","4732",2
"2023-07-09","2023-07-15","SK","4732",10
"2023-08-06","2023-08-12","SK","4732",3
"2023-09-03","2023-09-09","SK","4732",22
"2023-09-17","2023-09-23","SK","4732",9
"2023-10-01","2023-10-07","SK","4732",12
"2023-10-15","2023-10-21","SK","4732",26
"2023-10-29","2023-11-04","SK","4732",37
"2022-12-25","2022-12-31","SK","4741",64
"2023-01-08","2023-01-14","SK","4741",64
"2023-01-22","2023-01-28","SK","4741",69
"2023-02-05","2023-02-11","SK","4741",57
"2023-02-19","2023-02-25","SK","4741",37
"2023-03-05","2023-03-11","SK","4741",51
"2023-03-19","2023-03-25","SK","4741",40
"2023-04-02","2023-04-08","SK","4741",19
"2023-04-16","2023-04-22","SK","4741",44
"2023-05-14","2023-05-20","SK","4741",16
"2023-06-11","2023-06-17","SK","4741",8
"2023-07-09","2023-07-15","SK","4741",7
"2023-08-06","2023-08-12","SK","4741",6
"2023-09-03","2023-09-09","SK","4741",22
"2023-09-17","2023-09-23","SK","4741",32
"2023-10-01","2023-10-07","SK","4741",52
"2023-10-15","2023-10-21","SK","4741",79
"2023-10-29","2023-11-04","SK","4741",104
"2022-12-25","2022-12-31","SK","4751",32
"2023-01-08","2023-01-14","SK","4751",35
"2023-01-22","2023-01-28","SK","4751",30
"2023-02-05","2023-02-11","SK","4751",32
"2023-02-19","2023-02-25","SK","4751",23
"2023-03-05","2023-03-11","SK","4751",32
"2023-03-19","2023-03-25","SK","4751",28
"2023-04-02","2023-04-08","SK","4751",39
"2023-04-16","2023-04-22","SK","4751",27
"2023-05-14","2023-05-20","SK","4751",16
"2023-06-11","2023-06-17","SK","4751",3
"2023-07-09","2023-07-15","SK","4751",5
"2023-08-06","2023-08-12","SK","4751",7
"2023-09-03","2023-09-09","SK","4751",3
"2023-09-17","2023-09-23","SK","4751",25
"2023-10-01","2023-10-07","SK","4751",30
"2023-10-15","2023-10-21","SK","4751",50
"2023-10-29","2023-11-04","SK","4751",42
"2022-12-25","2022-12-31","SK","4761",1
"2023-01-08","2023-01-14","SK","4761",8
"2023-01-22","2023-01-28","SK","4761",10
"2023-02-05","2023-02-11","SK","4761",3
"2023-02-19","2023-02-25","SK","4761",3
"2023-03-05","2023-03-11","SK","4761",12
"2023-03-19","2023-03-25","SK","4761",4
"2023-04-02","2023-04-08","SK","4761",8
"2023-04-16","2023-04-22","SK","4761",4
"2023-05-14","2023-05-20","SK","4761",0
"2023-06-11","2023-06-17","SK","4761",0
"2023-07-09","2023-07-15","SK","4761",0
"2023-08-06","2023-08-12","SK","4761",0
"2023-09-03","2023-09-09","SK","4761",6
"2023-09-17","2023-09-23","SK","4761",5
"2023-10-01","2023-10-07","SK","4761",7
"2023-10-15","2023-10-21","SK","4761",14
"2023-10-29","2023-11-04","SK","4761",21
"2022-12-25","2022-12-31","SK","4762",11
"2023-01-08","2023-01-14","SK","4762",5
"2023-01-22","2023-01-28","SK","4762",3
"2023-02-05","2023-02-11","SK","4762",8
"2023-02-19","2023-02-25","SK","4762",9
"2023-03-05","2023-03-11","SK","4762",7
"2023-03-19","2023-03-25","SK","4762",9
"2023-04-02","2023-04-08","SK","4762",5
"2023-04-16","2023-04-22","SK","4762",10
"2023-05-14","2023-05-20","SK","4762",4
"2023-06-11","2023-06-17","SK","4762",5
"2023-07-09","2023-07-15","SK","4762",2
"2023-08-06","2023-08-12","SK","4762",1
"2023-09-03","2023-09-09","SK","4762",0
"2023-09-17","2023-09-23","SK","4762",7
"2023-10-01","2023-10-07","SK","4762",7
"2023-10-15","2023-10-21","SK","4762",13
"2023-10-29","2023-11-04","SK","4762",13
"2022-12-25","2022-12-31","SK","4763",15
"2023-01-08","2023-01-14","SK","4763",10
"2023-01-22","2023-01-28","SK","4763",10
"2023-02-05","2023-02-11","SK","4763",7
"2023-02-19","2023-02-25","SK","4763",9
"2023-03-05","2023-03-11","SK","4763",14
"2023-03-19","2023-03-25","SK","4763",18
"2023-04-02","2023-04-08","SK","4763",8
"2023-04-16","2023-04-22","SK","4763",8
"2023-05-14","2023-05-20","SK","4763",2
"2023-06-11","2023-06-17","SK","4763",0
"2023-07-09","2023-07-15","SK","4763",0
"2023-08-06","2023-08-12","SK","4763",0
"2023-09-03","2023-09-09","SK","4763",3
"2023-09-17","2023-09-23","SK","4763",6
"2023-10-01","2023-10-07","SK","4763",8
"2023-10-15","2023-10-21","SK","4763",9
"2023-10-29","2023-11-04","SK","4763",22
"2022-12-25","2022-12-31","SK","9999",91
"2022-12-25","2022-12-31","SK","9999",302
"2023-01-01","2023-01-07","SK","9999",371
"2023-01-08","2023-01-14","SK","9999",105
"2023-01-01","2023-01-07","SK","9999",371
"2023-01-08","2023-01-14","SK","9999",317
"2023-01-15","2023-01-21","SK","9999",273
"2023-01-22","2023-01-28","SK","9999",60
"2023-01-15","2023-01-21","SK","9999",273
"2023-01-22","2023-01-28","SK","9999",242
"2023-01-29","2023-02-04","SK","9999",275
"2023-02-05","2023-02-11","SK","9999",58
"2023-01-29","2023-02-04","SK","9999",275
"2023-02-05","2023-02-11","SK","9999",207
"2023-02-12","2023-02-18","SK","9999",202
"2023-02-19","2023-02-25","SK","9999",57
"2023-02-12","2023-02-18","SK","9999",202
"2023-02-19","2023-02-25","SK","9999",194
"2023-02-26","2023-03-04","SK","9999",217
"2023-03-05","2023-03-11","SK","9999",50
"2023-02-26","2023-03-04","SK","9999",217
"2023-03-05","2023-03-11","SK","9999",237
"2023-03-12","2023-03-18","SK","9999",222
"2023-03-19","2023-03-25","SK","9999",76
"2023-03-12","2023-03-18","SK","9999",222
"2023-03-19","2023-03-25","SK","9999",242
"2023-03-26","2023-04-01","SK","9999",243
"2023-04-02","2023-04-08","SK","9999",54
"2023-03-26","2023-04-01","SK","9999",243
"2023-04-02","2023-04-08","SK","9999",170
"2023-04-09","2023-04-15","SK","9999",208
"2023-04-16","2023-04-22","SK","9999",54
"2023-04-23","2023-04-29","SK","9999",162
"2023-04-30","2023-05-06","SK","9999",142
"2023-05-07","2023-05-13","SK","9999",127
"2023-05-14","2023-05-20","SK","9999",22
"2023-05-21","2023-05-27","SK","9999",76
"2023-05-28","2023-06-03","SK","9999",36
"2023-06-04","2023-06-10","SK","9999",36
"2023-06-11","2023-06-17","SK","9999",6
"2023-06-18","2023-06-24","SK","9999",33
"2023-06-25","2023-07-01","SK","9999",34
"2023-07-02","2023-07-08","SK","9999",27
"2023-07-09","2023-07-15","SK","9999",9
"2023-07-16","2023-07-22","SK","9999",53
"2023-07-23","2023-07-29","SK","9999",77
"2023-07-30","2023-08-05","SK","9999",41
"2023-08-06","2023-08-12","SK","9999",11
"2023-08-13","2023-08-19","SK","9999",51
"2023-08-20","2023-08-26","SK","9999",81
"2023-08-27","2023-09-02","SK","9999",67
"2023-09-03","2023-09-09","SK","9999",32
"2023-08-27","2023-09-02","SK","9999",67
"2023-09-03","2023-09-09","SK","9999",96
"2023-09-10","2023-09-16","SK","9999",123
"2023-09-17","2023-09-23","SK","9999",49
"2023-09-10","2023-09-16","SK","9999",123
"2023-09-17","2023-09-23","SK","9999",159
"2023-09-24","2023-09-30","SK","9999",229
"2023-10-01","2023-10-07","SK","9999",110
"2023-09-24","2023-09-30","SK","9999",229
"2023-10-01","2023-10-07","SK","9999",270
"2023-10-08","2023-10-14","SK","9999",345
"2023-10-15","2023-10-21","SK","9999",125
"2023-10-08","2023-10-14","SK","9999",345
"2023-10-15","2023-10-21","SK","9999",390
"2023-10-22","2023-10-28","SK","9999",396
"2023-10-29","2023-11-04","SK","9999",129
