"date","source","date_start","date_end","region","sub_region_1","cases","cumulative_deaths","deaths","deaths_current_reporting_period","deaths_previous_reporting_period","active_hospitalizations","new_hospitalizations","active_icu"
"2022-03-10","https://novascotia.ca/news/release/?id=20220310001","2022-03-05","2022-03-08","NS",,1382,,5,,,50,,
"2022-03-18","https://novascotia.ca/news/release/?id=20220318004","2022-03-09","2022-03-15","NS",,2888,232,15,,,,,
"2022-03-18","https://novascotia.ca/news/release/?id=20220318004","2022-03-17","2022-03-17","NS",,,,,,,38,,
"2022-03-24","https://novascotia.ca/news/release/?id=20220324008","2022-03-16","2022-03-22","NS",,3453,245,13,,,42,,
"2022-03-31","https://novascotia.ca/news/release/?id=20220331008","2022-03-23","2022-03-29","NS",,4188,255,10,,,51,,
"2022-04-07","https://novascotia.ca/news/release/?id=20220407006","2022-03-30","2022-04-05","NS",,6991,263,8,,,57,,
"2022-04-14","https://novascotia.ca/news/release/?id=20220414005","2022-04-06","2022-04-11","NS",,6912,277,14,,,,72,
"2022-04-14","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-04-12","2022-04-12","NS",,,,,,,59,,10
"2022-04-21","https://novascotia.ca/news/release/?id=20220421005","2022-04-12","2022-04-18","NS",,7508,290,13,,,,84,
"2022-04-21","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-04-19","2022-04-19","NS",,,,,,,64,,11
"2022-04-28","https://novascotia.ca/news/release/?id=20220428005","2022-04-19","2022-04-25","NS",,5436,314,24,,,,91,
"2022-04-28","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-04-26","2022-04-26","NS",,,,,,,66,,11
"2022-05-05","https://novascotia.ca/news/release/?id=20220505003","2022-04-26","2022-05-02","NS",,3415,336,22,,,,77,
"2022-05-05","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-05-03","2022-05-03","NS",,,,,,,66,,17
"2022-05-12","https://novascotia.ca/news/release/?id=20220512003","2022-05-03","2022-05-09","NS",,3118,354,18,,,,65,
"2022-05-12","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-05-10","2022-05-10","NS",,,,,,,58,,9
"2022-05-19","https://novascotia.ca/news/release/?id=20220519003","2022-05-10","2022-05-16","NS",,2513,378,24,,,,59,
"2022-05-19","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-05-17","2022-05-17","NS",,,,,,,43,,8
"2022-05-26","https://novascotia.ca/news/release/?id=20220526003","2022-05-17","2022-05-23","NS",,1584,391,13,,,,40,
"2022-05-26","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-05-24","2022-05-24","NS",,,,,,,41,,8
"2022-06-02","https://novascotia.ca/news/release/?id=20220602004","2022-05-24","2022-05-30","NS",,1563,400,9,,,,41,
"2022-06-02","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-05-31","2022-05-31","NS",,,,,,,32,,4
"2022-06-09","https://novascotia.ca/news/release/?id=20220609005","2022-05-31","2022-06-06","NS",,1474,421,21,,,,49,
"2022-06-09","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cadd","2022-06-07","2022-06-07","NS",,,,,,,36,,5
"2022-06-16","https://novascotia.ca/news/release/?id=20220616002","2022-06-07","2022-06-13","NS",,1950,431,10,,,,28,
"2022-06-16","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-06-15","2022-06-15","NS",,,,,,,25,,5
"2022-06-23","https://novascotia.ca/news/release/?id=20220623002","2022-06-14","2022-06-20","NS",,1420,438,7,,,,37,
"2022-06-23","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-06-21","2022-06-21","NS",,,,,,,23,,5
"2022-06-30","https://novascotia.ca/news/release/?id=20220630004","2022-06-21","2022-06-27","NS",,1491,442,4,,,,28,
"2022-06-30","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-06-28","2022-06-28","NS",,,,,,,24,,4
"2022-07-07","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-06-28","2022-07-04","NS",,1749,451,9,,,,21,
"2022-07-07","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-07-05","2022-07-05","NS",,,,,,,31,,4
"2022-07-14","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-07-05","2022-07-11","NS",,1562,456,5,,,,36,
"2022-07-14","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-07-12","2022-07-12","NS",,,,,,,32,,9
"2022-07-21","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-07-12","2022-07-18","NS",,1877,463,7,,,,44,
"2022-07-21","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-07-19","2022-07-19","NS",,,,,,,44,,8
"2022-07-28","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-07-19","2022-07-25","NS",,1910,468,5,,,,60,
"2022-07-28","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-07-26","2022-07-26","NS",,,,,,,42,,6
"2022-08-04","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-07-26","2022-08-01","NS",,1683,468,0,,,,54,
"2022-08-04","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-08-02","2022-08-02","NS",,,,,,,41,,8
"2022-08-11","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-08-02","2022-08-08","NS",,1741,473,5,,,,50,
"2022-08-11","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-08-09","2022-08-09","NS",,,,,,,50,,7
"2022-08-18","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-08-09","2022-08-15","NS",,1445,484,11,,,,40,
"2022-08-18","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-08-16","2022-08-16","NS",,,,,,,46,,4
"2022-08-25","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-08-16","2022-08-22","NS",,1360,492,8,,,,34,
"2022-08-25","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-08-23","2022-08-23","NS",,,,,,,50,,8
"2022-09-01","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-08-23","2022-08-29","NS",,1310,497,5,,,,38,
"2022-09-01","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-08-30","2022-08-30","NS",,,,,,,38,,8
"2022-09-08","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-08-30","2022-09-05","NS",,986,507,10,,,,33,
"2022-09-08","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-09-06","2022-09-06","NS",,,,,,,51,,10
"2022-09-15","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-09-06","2022-09-12","NS",,1133,522,15,,,,39,
"2022-09-15","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-09-13","2022-09-13","NS",,,,,,,48,,9
"2022-09-22","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-09-13","2022-09-19","NS",,893,534,12,,,,42,
"2022-09-22","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-09-20","2022-09-20","NS",,,,,,,48,,4
"2022-09-29","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-09-20","2022-09-26","NS",,991,544,10,,,,56,
"2022-09-29","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-09-27","2022-09-27","NS",,,,,,,55,,10
"2022-10-06","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-09-27","2022-10-03","NS",,1178,544,0,,,,51,
"2022-10-06","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-10-04","2022-10-04","NS",,,,,,,46,,4
"2022-10-13","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-10-04","2022-10-10","NS",,942,555,11,,,,55,
"2022-10-13","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-10-11","2022-10-11","NS",,,,,,,49,,6
"2022-10-20","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-10-11","2022-10-17","NS",,1172,572,17,,,,53,
"2022-10-20","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-10-18","2022-10-18","NS",,,,,,,49,,9
"2022-10-27","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-10-18","2022-10-24","NS",,919,588,16,,,,48,
"2022-10-27","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-10-25","2022-10-25","NS",,,,,,,54,,7
"2022-11-03","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-10-25","2022-10-31","NS",,792,602,14,0,14,,36,
"2022-11-03","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-11-01","2022-11-01","NS",,,,,,,43,,4
"2022-11-10","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-11-01","2022-11-07","NS",,671,617,15,0,15,,35,
"2022-11-10","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-11-08","2022-11-08","NS",,,,,,,40,,7
"2022-11-17","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-11-08","2022-11-14","NS",,552,632,16,1,15,,33,
"2022-11-17","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-11-15","2022-11-15","NS",,,,,,,43,,4
"2022-11-24","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-11-15","2022-11-21","NS",,515,642,10,0,10,,31,
"2022-11-24","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-11-22","2022-11-22","NS",,,,,,,31,,4
"2022-12-01","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-11-22","2022-11-28","NS",,544,657,15,1,14,,43,
"2022-12-01","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-11-29","2022-11-29","NS",,,,,,,46,,6
"2022-12-08","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-11-29","2022-12-05","NS",,509,670,13,0,13,,32,
"2022-12-08","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-12-06","2022-12-06","NS",,,,,,,28,,5
"2022-12-15","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-12-06","2022-12-12","NS",,515,673,3,0,3,,36,
"2022-12-15","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-12-13","2022-12-13","NS",,,,,,,34,,7
"2022-12-22","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-12-13","2022-12-19","NS",,584,675,2,0,2,,35,
"2022-12-22","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-12-20","2022-12-20","NS",,,,,,,28,,6
"2023-01-05","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-12-20","2023-01-02","NS",,1553,694,20,1,19,,76,
"2023-01-05","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-01-03","2023-01-03","NS",,,,,,,73,,13
"2023-01-12","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-01-03","2023-01-09","NS",,1038,701,7,0,7,,50,
"2023-01-12","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-01-10","2023-01-10","NS",,,,,,,36,,7
"2023-01-19","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-01-10","2023-01-16","NS",,599,706,5,0,5,,45,
"2023-01-19","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-01-17","2023-01-17","NS",,,,,,,44,,11
"2023-01-26","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-01-17","2023-01-23","NS",,687,718,12,0,12,,43,
"2023-01-26","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-01-24","2023-01-24","NS",,,,,,,40,,7
"2023-02-02","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-01-24","2023-01-30","NS",,680,726,8,3,5,,36,
"2023-02-02","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-01-31","2023-01-31","NS",,,,,,,41,,4
"2023-02-09","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-01-31","2023-02-06","NS",,649,753,27,2,25,,37,
"2023-02-09","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-02-07","2023-02-07","NS",,,,,,,32,,5
"2023-02-16","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-02-07","2023-02-13","NS",,357,778,25,1,24,,16,
"2023-02-16","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-02-14","2023-02-14","NS",,,,,,,33,,4
"2023-02-23","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-02-14","2023-02-20","NS",,391,788,10,0,10,,33,
"2023-02-23","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-02-21","2023-02-21","NS",,,,,,,39,,7
"2023-03-02","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-02-21","2023-02-27","NS",,264,796,8,2,6,,26,
"2023-03-02","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-02-28","2023-02-28","NS",,,,,,,31,,5
"2023-03-09","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-02-28","2023-03-06","NS",,238,800,4,0,4,,15,
"2023-03-09","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-03-07","2023-03-07","NS",,,,,,,25,,4
"2023-03-16","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-03-07","2023-03-13","NS",,272,807,7,0,7,,28,
"2023-03-16","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-03-14","2023-03-14","NS",,,,,,,26,,1
"2023-03-23","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-03-14","2023-03-20","NS",,394,819,12,0,12,,20,
"2023-03-23","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-03-21","2023-03-21","NS",,,,,,,21,,1
"2023-03-30","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-03-21","2023-03-27","NS",,191,820,1,0,1,,11,
"2023-03-30","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-03-28","2023-03-28","NS",,,,,,,26,,3
